count,owner_occupancy_name,county_name,state_name
"758","Not applicable","",""
"2099","Not owner-occupied as a principal dwelling","",""
"14034","Owner-occupied as a principal dwelling","",""
"14","Not owner-occupied as a principal dwelling","","Alabama"
"48","Owner-occupied as a principal dwelling","","Alabama"
"91","Not owner-occupied as a principal dwelling","Autauga County","Alabama"
"1114","Owner-occupied as a principal dwelling","Autauga County","Alabama"
"11","Not applicable","Baldwin County","Alabama"
"1468","Not owner-occupied as a principal dwelling","Baldwin County","Alabama"
"3908","Owner-occupied as a principal dwelling","Baldwin County","Alabama"
"38","Not owner-occupied as a principal dwelling","Barbour County","Alabama"
"180","Owner-occupied as a principal dwelling","Barbour County","Alabama"
"22","Not owner-occupied as a principal dwelling","Bibb County","Alabama"
"224","Owner-occupied as a principal dwelling","Bibb County","Alabama"
"1","Not applicable","Blount County","Alabama"
"81","Not owner-occupied as a principal dwelling","Blount County","Alabama"
"959","Owner-occupied as a principal dwelling","Blount County","Alabama"
"36","Not applicable","Bullock County","Alabama"
"11","Not owner-occupied as a principal dwelling","Bullock County","Alabama"
"60","Owner-occupied as a principal dwelling","Bullock County","Alabama"
"33","Not owner-occupied as a principal dwelling","Butler County","Alabama"
"182","Owner-occupied as a principal dwelling","Butler County","Alabama"
"3","Not applicable","Calhoun County","Alabama"
"219","Not owner-occupied as a principal dwelling","Calhoun County","Alabama"
"1470","Owner-occupied as a principal dwelling","Calhoun County","Alabama"
"2","Not applicable","Chambers County","Alabama"
"37","Not owner-occupied as a principal dwelling","Chambers County","Alabama"
"290","Owner-occupied as a principal dwelling","Chambers County","Alabama"
"1","Not applicable","Cherokee County","Alabama"
"54","Not owner-occupied as a principal dwelling","Cherokee County","Alabama"
"257","Owner-occupied as a principal dwelling","Cherokee County","Alabama"
"1","Not applicable","Chilton County","Alabama"
"62","Not owner-occupied as a principal dwelling","Chilton County","Alabama"
"591","Owner-occupied as a principal dwelling","Chilton County","Alabama"
"15","Not owner-occupied as a principal dwelling","Choctaw County","Alabama"
"125","Owner-occupied as a principal dwelling","Choctaw County","Alabama"
"110","Not owner-occupied as a principal dwelling","Clarke County","Alabama"
"343","Owner-occupied as a principal dwelling","Clarke County","Alabama"
"6","Not owner-occupied as a principal dwelling","Clay County","Alabama"
"101","Owner-occupied as a principal dwelling","Clay County","Alabama"
"14","Not owner-occupied as a principal dwelling","Cleburne County","Alabama"
"138","Owner-occupied as a principal dwelling","Cleburne County","Alabama"
"1","Not applicable","Coffee County","Alabama"
"150","Not owner-occupied as a principal dwelling","Coffee County","Alabama"
"833","Owner-occupied as a principal dwelling","Coffee County","Alabama"
"4","Not applicable","Colbert County","Alabama"
"218","Not owner-occupied as a principal dwelling","Colbert County","Alabama"
"1081","Owner-occupied as a principal dwelling","Colbert County","Alabama"
"8","Not owner-occupied as a principal dwelling","Conecuh County","Alabama"
"82","Owner-occupied as a principal dwelling","Conecuh County","Alabama"
"28","Not owner-occupied as a principal dwelling","Coosa County","Alabama"
"73","Owner-occupied as a principal dwelling","Coosa County","Alabama"
"1","Not applicable","Covington County","Alabama"
"48","Not owner-occupied as a principal dwelling","Covington County","Alabama"
"432","Owner-occupied as a principal dwelling","Covington County","Alabama"
"2","Not applicable","Crenshaw County","Alabama"
"30","Not owner-occupied as a principal dwelling","Crenshaw County","Alabama"
"194","Owner-occupied as a principal dwelling","Crenshaw County","Alabama"
"4","Not applicable","Cullman County","Alabama"
"207","Not owner-occupied as a principal dwelling","Cullman County","Alabama"
"1089","Owner-occupied as a principal dwelling","Cullman County","Alabama"
"2","Not applicable","Dale County","Alabama"
"82","Not owner-occupied as a principal dwelling","Dale County","Alabama"
"593","Owner-occupied as a principal dwelling","Dale County","Alabama"
"30","Not owner-occupied as a principal dwelling","Dallas County","Alabama"
"294","Owner-occupied as a principal dwelling","Dallas County","Alabama"
"1","Not applicable","DeKalb County","Alabama"
"101","Not owner-occupied as a principal dwelling","DeKalb County","Alabama"
"600","Owner-occupied as a principal dwelling","DeKalb County","Alabama"
"3","Not applicable","Elmore County","Alabama"
"230","Not owner-occupied as a principal dwelling","Elmore County","Alabama"
"1644","Owner-occupied as a principal dwelling","Elmore County","Alabama"
"1","Not applicable","Escambia County","Alabama"
"46","Not owner-occupied as a principal dwelling","Escambia County","Alabama"
"347","Owner-occupied as a principal dwelling","Escambia County","Alabama"
"5","Not applicable","Etowah County","Alabama"
"188","Not owner-occupied as a principal dwelling","Etowah County","Alabama"
"1351","Owner-occupied as a principal dwelling","Etowah County","Alabama"
"22","Not owner-occupied as a principal dwelling","Fayette County","Alabama"
"158","Owner-occupied as a principal dwelling","Fayette County","Alabama"
"78","Not owner-occupied as a principal dwelling","Franklin County","Alabama"
"372","Owner-occupied as a principal dwelling","Franklin County","Alabama"
"72","Not owner-occupied as a principal dwelling","Geneva County","Alabama"
"379","Owner-occupied as a principal dwelling","Geneva County","Alabama"
"9","Not owner-occupied as a principal dwelling","Greene County","Alabama"
"52","Owner-occupied as a principal dwelling","Greene County","Alabama"
"2","Not applicable","Hale County","Alabama"
"37","Not owner-occupied as a principal dwelling","Hale County","Alabama"
"177","Owner-occupied as a principal dwelling","Hale County","Alabama"
"87","Not owner-occupied as a principal dwelling","Henry County","Alabama"
"263","Owner-occupied as a principal dwelling","Henry County","Alabama"
"1","Not applicable","Houston County","Alabama"
"282","Not owner-occupied as a principal dwelling","Houston County","Alabama"
"1670","Owner-occupied as a principal dwelling","Houston County","Alabama"
"1","Not applicable","Jackson County","Alabama"
"88","Not owner-occupied as a principal dwelling","Jackson County","Alabama"
"568","Owner-occupied as a principal dwelling","Jackson County","Alabama"
"68","Not applicable","Jefferson County","Alabama"
"867","Not owner-occupied as a principal dwelling","Jefferson County","Alabama"
"10479","Owner-occupied as a principal dwelling","Jefferson County","Alabama"
"20","Not owner-occupied as a principal dwelling","Lamar County","Alabama"
"157","Owner-occupied as a principal dwelling","Lamar County","Alabama"
"15","Not applicable","Lauderdale County","Alabama"
"298","Not owner-occupied as a principal dwelling","Lauderdale County","Alabama"
"1647","Owner-occupied as a principal dwelling","Lauderdale County","Alabama"
"40","Not owner-occupied as a principal dwelling","Lawrence County","Alabama"
"494","Owner-occupied as a principal dwelling","Lawrence County","Alabama"
"16","Not applicable","Lee County","Alabama"
"550","Not owner-occupied as a principal dwelling","Lee County","Alabama"
"2632","Owner-occupied as a principal dwelling","Lee County","Alabama"
"1","Not applicable","Limestone County","Alabama"
"150","Not owner-occupied as a principal dwelling","Limestone County","Alabama"
"2020","Owner-occupied as a principal dwelling","Limestone County","Alabama"
"17","Not owner-occupied as a principal dwelling","Lowndes County","Alabama"
"89","Owner-occupied as a principal dwelling","Lowndes County","Alabama"
"3","Not applicable","Macon County","Alabama"
"13","Not owner-occupied as a principal dwelling","Macon County","Alabama"
"100","Owner-occupied as a principal dwelling","Macon County","Alabama"
"18","Not applicable","Madison County","Alabama"
"903","Not owner-occupied as a principal dwelling","Madison County","Alabama"
"7938","Owner-occupied as a principal dwelling","Madison County","Alabama"
"39","Not owner-occupied as a principal dwelling","Marengo County","Alabama"
"237","Owner-occupied as a principal dwelling","Marengo County","Alabama"
"1","Not applicable","Marion County","Alabama"
"53","Not owner-occupied as a principal dwelling","Marion County","Alabama"
"306","Owner-occupied as a principal dwelling","Marion County","Alabama"
"4","Not applicable","Marshall County","Alabama"
"241","Not owner-occupied as a principal dwelling","Marshall County","Alabama"
"1209","Owner-occupied as a principal dwelling","Marshall County","Alabama"
"11","Not applicable","Mobile County","Alabama"
"635","Not owner-occupied as a principal dwelling","Mobile County","Alabama"
"5036","Owner-occupied as a principal dwelling","Mobile County","Alabama"
"15","Not owner-occupied as a principal dwelling","Monroe County","Alabama"
"222","Owner-occupied as a principal dwelling","Monroe County","Alabama"
"15","Not applicable","Montgomery County","Alabama"
"378","Not owner-occupied as a principal dwelling","Montgomery County","Alabama"
"3091","Owner-occupied as a principal dwelling","Montgomery County","Alabama"
"15","Not applicable","Morgan County","Alabama"
"195","Not owner-occupied as a principal dwelling","Morgan County","Alabama"
"2068","Owner-occupied as a principal dwelling","Morgan County","Alabama"
"2","Not owner-occupied as a principal dwelling","Perry County","Alabama"
"29","Owner-occupied as a principal dwelling","Perry County","Alabama"
"1","Not applicable","Pickens County","Alabama"
"31","Not owner-occupied as a principal dwelling","Pickens County","Alabama"
"157","Owner-occupied as a principal dwelling","Pickens County","Alabama"
"2","Not applicable","Pike County","Alabama"
"19","Not owner-occupied as a principal dwelling","Pike County","Alabama"
"287","Owner-occupied as a principal dwelling","Pike County","Alabama"
"68","Not owner-occupied as a principal dwelling","Randolph County","Alabama"
"196","Owner-occupied as a principal dwelling","Randolph County","Alabama"
"1","Not applicable","Russell County","Alabama"
"177","Not owner-occupied as a principal dwelling","Russell County","Alabama"
"806","Owner-occupied as a principal dwelling","Russell County","Alabama"
"9","Not applicable","Shelby County","Alabama"
"296","Not owner-occupied as a principal dwelling","Shelby County","Alabama"
"5120","Owner-occupied as a principal dwelling","Shelby County","Alabama"
"3","Not applicable","St. Clair County","Alabama"
"132","Not owner-occupied as a principal dwelling","St. Clair County","Alabama"
"1707","Owner-occupied as a principal dwelling","St. Clair County","Alabama"
"13","Not owner-occupied as a principal dwelling","Sumter County","Alabama"
"74","Owner-occupied as a principal dwelling","Sumter County","Alabama"
"3","Not applicable","Talladega County","Alabama"
"135","Not owner-occupied as a principal dwelling","Talladega County","Alabama"
"830","Owner-occupied as a principal dwelling","Talladega County","Alabama"
